Jeux de données,Colonne,Description
comparia-reactions,conversation_pair_id,Identifiant unique pour la paire de conversations
comparia-reactions,conv_a_id,Identifiant unique pour la conversation avec le modèle A
comparia-reactions,conv_b_id,Identifiant unique pour la conversation avec le modèle B
comparia-reactions,refers_to_conv_id,Identifiant de la conversation à laquelle la réaction fait référence
comparia-reactions,session_hash,Identifiant de session utilisateur
comparia-reactions,visitor_id,Identifiant anonymisé unique pour l'utilisateur
comparia-reactions,country,Pays de l'utilisateur
comparia-reactions,city,Ville de l'utilisateur
comparia-reactions,response_content,Contenu de la réponse du modèle auquel l'utilisateur a réagi
comparia-reactions,question_content,Contenu de la question de l'utilisateur
comparia-reactions,liked,Indique si l'utilisateur a aimé la réponse (pouce vers le haut)
comparia-reactions,disliked,Indique si l'utilisateur n'a pas aimé la réponse (pouce vers le bas)
comparia-reactions,comment,Commentaire laissé par l'utilisateur sur la réponse
comparia-reactions,useful,Indique si l'utilisateur a jugé que la réponse était utile
comparia-reactions,creative,Indique si l'utilisateur a jugé que la réponse était créative
comparia-reactions,clear_formatting,Indique si l'utilisateur a jugé que la mise en forme était claire
comparia-reactions,incorrect,Indique si l'utilisateur a jugé que la réponse contenait des informations incorrectes
comparia-reactions,superficial,Indique si l'utilisateur a jugé que la réponse était superficielle
comparia-reactions,instructions_not_followed,Indique si l'utilisateur a jugé que le modèle n'a pas suivi les instructions pour ce message
comparia-reactions,model_pair_name,Représentation sous forme d'ensemble des deux modèles comparés
comparia-reactions,msg_rank,
comparia-reactions,question_id,Identifiant unique de la question
comparia-reactions,system_prompt,Instruction système fournie au modèle
